Location,PO #,UPC,Description,Vendor Item #,Units/Case,Cases,Case Cost,Ext Cost,Notes
Andover,1031110,094799020011,Dow's Fine Tawny Porto 750ml,IW-PPW-DW-FTP,12,1.0,136.0,136.0,
Roseville,1031277,4930127106490,Miyashita Momo Nigori 300ml,SA-SS-MM-NG,12,1.0,144.0,144.0,
Minnetonka,1031207,5604424367401,TOPO Tinto Red,IW-TV-TT-RB-18,12,1.0,76.0,76.0,
Roseville,1031277,5604424367401,TOPO Tinto Red,IW-TV-TT-RB-18,12,1.0,76.0,76.0,
St. Louis Park,1031299,5604424367401,TOPO Tinto Red,IW-TV-TT-RB-18,12,1.0,76.0,76.0,
Andover,1031110,627987198782,Andrew Paso Robles Organic Cabernet Sauvignon 750ml,DW-SBW-AO-CS-23,12,1.0,176.0,176.0,
Blaine,1031128,628176930077,Stel + Mar Cabernet Sauvignon 750ml,DW-SBW-SM-CS-22,12,1.0,104.0,104.0,
Roseville,1031024,701192030041,Tapatio Blanco 750ml,S-CD-TAP-TEQ-BL,12,1.0,372.0,372.0,Store Request
Roseville,1031287,716898961759,Colosi Nero d'Avola,IW-VS-CND-23,12,1.0,136.0,136.0,Store Request
Blaine,1031128,716898964415,Acinum Prosecco 750ml,IW-VS-AC-PED,12,1.0,84.0,84.0,
Plymouth,1031233,716898964415,Acinum Prosecco 750ml,IW-VS-AC-PED,12,1.0,84.0,84.0,
Blaine,1030816,736040537113,Banhez Mezcal 750ml,S-CNI-BAN-JOV-6pk,6,1.0,304.0,304.0,
Chanhassen,1030854,736040537113,Banhez Mezcal 750ml,S-CNI-BAN-JOV-6pk,6,1.0,304.0,304.0,
St. Louis Park,1031035,736040537113,Banhez Mezcal 750ml,S-CNI-BAN-JOV-6pk,6,1.0,304.0,304.0,
Roseville,1031277,763955409105,Les Allies Blanc de Blanc 750ml,IW-TV-LA-BDB-SPK,12,1.0,75.0,75.0,
Blaine,1031128,763955409204,Les Allies Brut 750ml,IW-TV-LA-BR-SPK,12,3.0,70.0,210.0,
Blaine,1031128,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Chanhassen,1031163,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Minneapolis,1031195,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Plymouth,1031233,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Ramsey,1031246,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Vadnais Heights,1031331,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Woodbury,1031346,763955409402,Les Allies Brut 187ml 2pk,IW-TV-LA-BR-SPK-187,12,1.0,72.0,72.0,
Vadnais Heights,1031331,763955409600,Les Allies Brut Rose 187ml 2pk,IW-TV-LA-BR-SPK-RO,12,1.0,72.0,72.0,
Woodbury,1031346,763955409600,Les Allies Brut Rose 187ml 2pk,IW-TV-LA-BR-SPK-RO,12,1.0,72.0,72.0,
Andover,1031110,763955412297,Les Allies Pinot Noir 750ml,IW-TV-LA-PN-22,12,1.0,90.0,90.0,
Blaine,1031128,835603005424,Tozai Living Jewel 720ml,SA-VC-TZ-LJ-720ml,6,1.0,66.0,66.0,
Plymouth,1031233,835603005424,Tozai Living Jewel 720ml,SA-VC-TZ-LJ-720ml,6,1.0,66.0,66.0,
Vadnais Heights,1031331,835603005424,Tozai Living Jewel 720ml,SA-VC-TZ-LJ-720ml,6,1.0,66.0,66.0,
Woodbury,1031346,835603005424,Tozai Living Jewel 720ml,SA-VC-TZ-LJ-720ml,6,1.0,66.0,66.0,
Minneapolis,1031195,835603005493,Tozai Plum Blossom of the Peace 720ml,SA-VC-TZ-BOP-720ml,6,1.0,76.0,76.0,
Plymouth,1031233,835603005493,Tozai Plum Blossom of the Peace 720ml,SA-VC-TZ-BOP-720ml,6,1.0,76.0,76.0,
Chanhassen,1030854,850332003398,TLC Vodka 1.75L,S-TLC-VO-1.75L,6,2.0,84.86,169.72,
Osseo,1030948,850332003398,TLC Vodka 1.75L,S-TLC-VO-1.75L,6,1.0,84.86,84.86,
St. Louis Park,1031035,850332003398,TLC Vodka 1.75L,S-TLC-VO-1.75L,6,1.0,84.86,84.86,
Ramsey,1030982,850332003534,TLC Vodka 50ml,S-TLC-VO-50ML,72,1.0,48.24,48.24,
Stillwater,1031054,850332003534,TLC Vodka 50ml,S-TLC-VO-50ML,72,1.0,48.24,48.24,
Chanhassen,1030854,859026001221,La Gritona Reposado 750ml,S-TE-LG-RE,12,1.0,480.0,480.0,
Roseville,1031024,859026001221,La Gritona Reposado 750ml,S-TE-LG-RE,12,1.0,480.0,480.0,Store Request
St. Louis Park,1031043,859026001221,La Gritona Reposado 750ml,S-TE-LG-RE,12,1.0,480.0,480.0,Store Request
Stillwater,1031064,859026001221,La Gritona Reposado 750ml,S-TE-LG-RE,12,1.0,480.0,480.0,Store Request
