Retail Price,Club Price (Anchor),20% Off Retail,$ Savings,Savings,0.95,REG PRICE
2.29,1.96,1.832,0.1279999999999999,0.06530612244897954,1.95,2.29
3.49,2.96,2.7920000000000003,0.1679999999999997,0.056756756756756656,2.95,3.49
4.49,3.96,3.5920000000000005,0.36799999999999944,0.09292929292929279,3.95,4.49
5.49,4.96,4.392,0.5679999999999996,0.11451612903225798,4.95,5.49
6.49,5.96,5.192,0.7679999999999998,0.12885906040268452,5.95,6.49
7.99,6.96,6.392,0.5679999999999996,0.0816091954022988,6.95,7.99
8.99,7.96,7.192,0.7679999999999998,0.09648241206030148,7.95,8.99
9.99,8.96,7.992000000000001,0.968,0.10803571428571428,8.95,9.99
11.49,9.96,9.192,0.7680000000000007,0.07710843373493982,9.95,11.49
12.49,10.96,9.992,0.968,0.08832116788321166,10.95,12.49
13.79,11.96,11.032,0.9280000000000008,0.07759197324414722,11.95,13.79
14.99,12.96,11.992,0.968,0.07469135802469135,12.95,14.99
15.99,13.96,12.792000000000002,1.1679999999999993,0.08366762177650423,13.95,15.99
17.49,14.96,13.991999999999999,0.9680000000000017,0.0647058823529413,14.95,17.49
18.99,15.96,15.192,0.7680000000000007,0.04812030075187974,15.95,18.99
19.99,16.96,15.991999999999999,0.9680000000000017,0.057075471698113306,16.95,19.99
20.99,17.96,16.791999999999998,1.1680000000000028,0.06503340757238323,17.95,20.99
22.49,18.96,17.992,0.968,0.0510548523206751,18.95,22.49
23.99,19.96,19.192,0.7680000000000007,0.038476953907815664,19.95,23.99
24.99,20.96,19.992,0.968,0.046183206106870225,20.95,24.99
25.99,21.96,20.792,1.1679999999999993,0.053187613843351515,21.95,25.99
26.99,22.96,21.592,1.368000000000002,0.059581881533101136,22.95,26.99
27.99,23.96,22.392,1.5680000000000014,0.06544240400667785,23.95,27.99
29.99,24.96,23.992,0.968,0.03878205128205128,24.95,29.99
30.49,25.96,24.392,1.5680000000000014,0.060400616332819776,25.95,30.49
31.99,26.96,25.592,1.368000000000002,0.05074183976261135,26.95,31.99
33.49,27.96,26.792,1.1679999999999993,0.04177396280400569,27.95,33.49
33.99,28.96,27.192000000000004,1.7679999999999971,0.061049723756905976,28.95,33.99
35.49,29.96,28.392000000000003,1.5679999999999978,0.05233644859813077,29.95,35.49
36.99,30.96,29.592000000000002,1.3679999999999986,0.04418604651162786,30.95,36.99
37.99,31.96,30.392000000000003,1.5679999999999978,0.049061326658322836,31.95,37.99
38.99,32.96,31.192000000000004,1.7679999999999971,0.05364077669902904,32.95,38.99
40.99,33.96,32.792,1.1679999999999993,0.0343934040047114,33.95,40.99
41.99,34.96,33.592000000000006,1.367999999999995,0.03913043478260855,34.95,41.99
42.99,35.96,34.392,1.5679999999999978,0.043604004449388147,35.95,42.99
43.99,36.96,35.192,1.7680000000000007,0.047835497835497856,36.95,43.99
45.99,37.96,36.792,1.1679999999999993,0.03076923076923075,37.95,45.99
46.99,38.96,37.592000000000006,1.367999999999995,0.03511293634496907,38.95,46.99
47.99,39.96,38.392,1.5679999999999978,0.039239239239239186,39.95,47.99
