upc,kind,target_wos,week,item
081128011680,weekly,4.5,2026-07-30,Woodford Reserve Bourbon
810879021385,weekly,4.5,2026-07-30,Steel 43 Vodka
083664868780,weekly,4.5,2026-07-30,Hendrick's Gin
082184090510,weekly,4.5,2026-07-30,Jack Daniels Whiskey
674545000421,weekly,4.5,2026-07-30,Don Julio Repo Tequila
698450104463,weekly,4.5,2026-07-30,Dos Amigos Tequila Reposado
810879022085,weekly,4.5,2026-07-30,Buddy's American Vodka 1.75L
850003574172,weekly,4.5,2026-07-30,Two Chicks Craft Cocktail Variety Pack
737212008677,sunday,8.0,2026-07-26,Griffo Chardonnay Brandy #151
080686001102,sunday,8.0,2026-07-26,Jim Beam Bourbon
